ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
71421,Luis Ren Lpez,M,22.0,183.0,90.0,Venezuela,VEN,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Middleweight,
71428,Mark Anthony Lopez,M,26.0,183.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,Silver
71448,Peter Lpez Santos,M,26.0,178.0,68.0,Peru,PER,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,
71448,Peter Lpez Santos,M,30.0,178.0,68.0,Peru,PER,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Featherweight,
71462,Sandro Luis Lpez Olmos,M,20.0,190.0,120.0,Argentina,ARG,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Middleweight,
71462,Sandro Luis Lpez Olmos,M,24.0,190.0,120.0,Argentina,ARG,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Middleweight,
71462,Sandro Luis Lpez Olmos,M,40.0,190.0,120.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Heavyweight,
71467,Steven Lopez,M,21.0,191.0,83.0,United States,USA,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Featherweight,Gold
71467,Steven Lopez,M,25.0,191.0,83.0,United States,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Welterweight,Gold
71467,Steven Lopez,M,29.0,191.0,83.0,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Welterweight,Bronze
71467,Steven Lopez,M,33.0,191.0,83.0,United States,USA,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Welterweight,
71467,Steven Lopez,M,37.0,191.0,83.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Welterweight,
